model,AUC,Accuracy,Sensitivity,Specificity,Precision,Recall,F1
Clinical_LogisticRegression,0.7072916666666667,0.6627906976744186,0.7053571428571429,0.5833333333333334,0.7596153846153846,0.7053571428571429,0.7314814814814815
Clinical_RandomForest,0.6410714285714286,0.6046511627906976,0.7678571428571429,0.3,0.671875,0.7678571428571429,0.7166666666666667
Ultrasound_MIL,0.5819940476190477,0.6511627906976745,0.875,0.23333333333333334,0.6805555555555556,0.875,0.765625
