variable,VIF
sex,1.649192101412057
smoking_bin,1.4561719059753797
drinking_bin,1.3260712364612992
hypertension,1.2843925161921288
age,1.2471601014474687
bmi,1.1625140270524033
nodular_goiter_flag,1.1422162737032697
diabetes,1.1136715989121229
thyroiditis_flag,1.0581193423359425
other_cancer_history,1.0544002556591052
thyroid_history,1.0398669468193553
hepatitis,1.0299028476869432
