Model,AUC,Accuracy,Sensitivity,Specificity
Clinical model (Clinical_LogisticRegression),0.7072916666666667,0.6627906976744186,0.7053571428571429,0.5833333333333334
Ultrasound model,0.5819940476190477,0.6511627906976745,0.875,0.23333333333333334
Fusion model,0.8110863095238096,0.7906976744186046,0.9285714285714286,0.5333333333333333
