feature,importance
thyroiditis_flag,1.3750329207876266
nodular_goiter_flag,0.8256965356983693
other_cancer_history,0.7913200519760264
smoking_bin,0.43363631326549923
diabetes,0.2637340092113619
hepatitis,0.18995367197568544
thyroid_history,0.1672350853008796
hypertension,0.1268292469131632
sex,0.08552662892559305
bmi,0.08427578610319186
drinking_bin,0.05616349140877523
age,0.03139074178529309
