Rank,Backbone,AUC,Accuracy,Sensitivity,Specificity,Precision,Recall,F1
1,resnet50,0.8303571428571428,0.8372093023255814,0.9464285714285714,0.6333333333333333,0.828125,0.9464285714285714,0.8833333333333333
2,efficientnet_b0,0.756547619047619,0.686046511627907,0.75,0.5666666666666667,0.7636363636363637,0.75,0.7567567567567568
3,mobilenet_v3_large,0.7511904761904762,0.7151162790697675,0.7857142857142857,0.5833333333333334,0.7787610619469026,0.7857142857142857,0.7822222222222223
4,convnext_tiny,0.5507440476190476,0.3488372093023256,0.0,1.0,0.0,0.0,0.0
5,swin_t,0.49851190476190477,0.4069767441860465,0.30357142857142855,0.6,0.5862068965517241,0.30357142857142855,0.4
6,vit_b_16,0.48065476190476186,0.6511627906976745,1.0,0.0,0.6511627906976745,1.0,0.7887323943661971
7,resnet18,0.3462797619047619,0.47674418604651164,0.5535714285714286,0.3333333333333333,0.6078431372549019,0.5535714285714286,0.5794392523364486
8,densenet121,0.2959821428571429,0.2558139534883721,0.08035714285714286,0.5833333333333334,0.2647058823529412,0.08035714285714286,0.1232876712328767
