feature,mean_abs_shap
thyroiditis_flag,0.5532109192936264
nodular_goiter_flag,0.4024790555404145
age,0.34774371742847354
bmi,0.22421278907453834
smoking_bin,0.08370189302566614
other_cancer_history,0.044350728494470325
diabetes,0.04133877260661813
hypertension,0.04117526248622694
sex,0.03023266882951196
thyroid_history,0.024501884590593995
hepatitis,0.01815603701907133
drinking_bin,0.011951068520704494
