variable,VIF
sex,1.5851827792578448
smoking_bin,1.4436572089769597
drinking_bin,1.2951548838473084
age,1.2943863740908048
hypertension,1.2894518154691745
nodular_goiter_flag,1.1427215214679705
diabetes,1.128048492458613
bmi,1.1109795202864199
other_cancer_history,1.0446587002758212
thyroiditis_flag,1.0410488277314907
thyroid_history,1.0311087411336641
hepatitis,1.027131726124377
